,id,date,rawContent,cleaned_content
6,17607,2022-06-26 23:55:51+00:00,@HenryOseiAkoto_ Oh wow I saw u at Kempinski dabbing ur fingers. So sorry. Didn’t even realize u were going through something. Are u ok now ? Sorry sir.,oh wow i saw u at kempinski dabbing ur fingers so sorry didnt even realize u were going through something are u ok now sorry sir
7,17608,2022-06-26 23:53:38+00:00,I just know that Seki feature will happen,i just know that seki feature will happen
8,17609,2022-06-26 23:49:33+00:00,"I couldn’t grow up as a perfect man; God’s Love and Grace got me, HE chose to Love Me in the darkest moment! #ChurchySunday #Yesupersonalcrush #theLoveofGod #SweetJesus @ Haatso North Legon https://t.co/LsRmfEYllP",i couldnt grow up as a perfect man gods love and grace got me he chose to love me in the darkest moment haatso north legon
9,17610,2022-06-26 23:48:49+00:00,@AmeyawDebrah Herh behave,herh behave
10,17611,2022-06-26 23:48:33+00:00,@nhardeeyah ❤️,
11,17612,2022-06-26 23:48:07+00:00,@UBERGUYOFFICIAL Yep! Corpus Christi,yep corpus christi
12,17613,2022-06-26 23:48:02+00:00,@Miji_Mi I will wake them up to start the show from station to station 😂😂😂😂😂😂😂,i will wake them up to start the show from station to station
13,17614,2022-06-26 23:46:54+00:00,@NaaMelanin https://t.co/K9f7mufUge,
14,17615,2022-06-26 23:44:38+00:00,😂 exactly what I was saying 🙌🏿 https://t.co/wExgdogvup,exactly what i was saying
15,17616,2022-06-26 23:44:16+00:00,@Miji_Mi against yeeenii ŋmɛnɛ 😂😂😂😂,against yeeenii ŋmn
16,17617,2022-06-26 23:42:48+00:00,@nanayawcity don't you miss him? @M10 is just world-class 💯🚀 https://t.co/qaF9xNzCcQ,dont you miss him is just world class
17,17618,2022-06-26 23:42:28+00:00,@ObiRush thanks keep the change...masa,thanks keep the change masa
18,17619,2022-06-26 23:41:57+00:00,LoL https://t.co/HOKVrWla8h,lol
19,17620,2022-06-26 23:41:54+00:00,"My family has hosted 9 parties/events of 250+ people EACH in #Ghana over the last eight days.

Today was the last one and I think we're all happy they're over. Especially my grandpa who ended the night dancing with his sister. 

Grateful &amp; blessed to spend this time with family https://t.co/sldrxUvxDE",my family has hosted 9 partiesevents of 250 people each in over the last eight days today was the last one and i think were all happy theyre over especially my grandpa who ended the night dancing with his sister grateful and blessed to spend this time with family
20,17621,2022-06-26 23:40:44+00:00,@niidavido Saaaa P3p3p333333,saaaa p3p3p333333
